"だいがく","college; university"
"<ruby>意地悪<rt>いじわる(な)</rt></ruby>","mean-spirited"
"<ruby>踊る<rt>おどる</rt></ruby>","to dance"
"<ruby>終わる<rt>おわる</rt></ruby>","(something) ends <small>(～が)</small>"
"<ruby>薬を飲む<rt>くすりをのむ</rt></ruby>","to take medicine"
"<ruby>人気がある<rt>にんきがある</rt></ruby>","to be popular"
"<ruby>始まる<rt>はじまる</rt></ruby>","(something) begins <small>(～が)</small>"
"<ruby>弾く<rt>ひく</rt></ruby>","to play (a string instrument or piano) <small>(～を)</small>"
"もらう","to get (from somebody) <small>(<em>person</em> に <em>thing</em> を)</small>"
"<ruby>覚える<rt>おぼえる</rt></ruby>","to memorize <small>(～を)</small>"
"<ruby>出る<rt>でる</rt></ruby>","to appear; to attend <small>(～に)</small>; to exit <small>(～を)</small>"
"<ruby>運動する<rt>うんどうする</rt></ruby>","to exercise"
"<ruby>散歩する<rt>さんぽする</rt></ruby>","to take a walk"
"<ruby>午前<rt>ごぜん</rt></ruby>","A.M."
"<ruby>午後<rt>ごご</rt></ruby>","P.M.; in the afternoon"
"<ruby>午前中<rt>ごぜんちゅう</rt></ruby>","in the morning"
"<ruby>正午<rt>しょうご</rt></ruby>","noon"
"<ruby>～の後<rt>～のあと</rt></ruby>","after..."
"<ruby>後で<rt>あとで</rt></ruby>","later"
"<ruby>後ろ<rt>うしろ</rt></ruby>","back; behind"
"<ruby>最後に<rt>さいごに</rt></ruby>","lastly"
"<ruby>前<rt>まえ</rt></ruby>","before; front"
"<ruby>名前<rt>なまえ</rt></ruby>","name"
"<ruby>前売り<rt>まえうり</rt></ruby>","advance sale"
"そう","(I think) so"
"～から","from..."
"～まで","to (a place/a time)"
"<ruby>是非<rt>ぜひ</rt></ruby>","by all means"
"ところで","by the way"
"みんな","all"
"もう","already"
"<ruby>名前<rt>なまえ</rt></ruby>","name"
"<ruby>有名な<rt>ゆうめいな</rt></ruby>","famous"
"<ruby>名刺<rt>めいし</rt></ruby>","name card"
"<ruby>氏名<rt>しめい</rt></ruby>","full name"
"<ruby>名字<rt>みょうじ</rt></ruby>","family name"
"<ruby>白い<rt>しろい</rt></ruby>","white"
"<ruby>白紙<rt>はくし</rt></ruby>","blank sheet"
"<ruby>白<rt>しろ</rt></ruby>","white color"
"<ruby>白鳥<rt>はくちょう</rt></ruby>","swan"
"<ruby>雨<rt>あめ</rt></ruby>","rain"
"<ruby>雨期<rt>うき</rt></ruby>","rainy season"
"<ruby>梅雨<rt>つゆ</rt></ruby>","rainy season (East Asia)"
"<ruby>大雨<rt>おおあめ</rt></ruby>","heavy rain"
"<ruby>一つ<rt>ひとつ</rt></ruby>","one"
"<ruby>二つ<rt>ふたつ</rt></ruby>","two"
"<ruby>三つ<rt>みっつ</rt></ruby>","three"
"<ruby>四つ<rt>よっつ</rt></ruby>","four"
"<ruby>五つ<rt>いつつ</rt></ruby>","five"
"<ruby>六つ<rt>むっつ</rt></ruby>","six"
"<ruby>七つ<rt>ななつ</rt></ruby>","seven"
"<ruby>八つ<rt>やっつ</rt></ruby>","eight"
"<ruby>九つ<rt>ここのつ</rt></ruby>","nine"
"<ruby>十<rt>とお</rt></ruby>","ten"
"<ruby>書く<rt>かく</rt></ruby>","to write"
"<ruby>辞書<rt>じしょ</rt></ruby>","dictionary"
"<ruby>教科書<rt>きょうかしょ</rt></ruby>","textbook"
"<ruby>図書館<rt>としょかん</rt></ruby>","library"
"<ruby>友だち<rt>ともだち</rt></ruby>","friend"
"<ruby>親友<rt>しんゆう</rt></ruby>","best friend"
"<ruby>友人<rt>ゆうじん</rt></ruby>","friend (formal)"
"<ruby>友情<rt>ゆうじょう</rt></ruby>","friendship"
"<ruby>時間<rt>じかん</rt></ruby>","time"
"<ruby>二時間<rt>にじかん</rt></ruby>","two hours"
"<ruby>間<rt>あいだ</rt></ruby>","between"
"<ruby>人間<rt>にんげん</rt></ruby>","human being"
"<ruby>一週間<rt>いっしゅうかん</rt></ruby>","one week"
"<ruby>黒い<rt>くろい</rt></ruby>","black"
"<ruby>白い<rt>しろい</rt></ruby>","white"
"<ruby>赤い<rt>あかい</rt></ruby>","red"
"<ruby>青い<rt>あおい</rt></ruby>","blue"
"<ruby>黄色い<rt>きいろい</rt></ruby>","yellow"
"<ruby>茶色い<rt>ちゃいろい</rt></ruby>","brown"
"<ruby>緑／グリーン<rt>みどり／---</rt></ruby>","green"
"<ruby>紫<rt>むらさき</rt></ruby>","purple"
"<ruby>紺色<rt>こんいろ</rt></ruby>","navy blue"
"<ruby>灰色／グレー<rt>はいいろ／---</rt></ruby>","gray"
"<ruby>水色<rt>みずいろ</rt></ruby>","light blue"
"<ruby>金色／ゴールド<rt>きんいろ／---</rt></ruby>","gold"
"<ruby>銀色／シルバー<rt>ぎんいろ／---</rt></ruby>","silver"
"ピンク","pink"
"オレンジ","orange"
"ベージュ","beige"
"<ruby>家<rt>いえ</rt></ruby>","house"
"<ruby>家族<rt>かぞく</rt></ruby>","family"
"<ruby>家<rt>うち</rt></ruby>","house; home"
"<ruby>家内<rt>かない</rt></ruby>","my wife"
"<ruby>作家<rt>さっか</rt></ruby>","author"
"<ruby>話す<rt>はなす</rt></ruby>","to speak"
"<ruby>話<rt>はなし</rt></ruby>","talk; story"
"<ruby>電話<rt>でんわ</rt></ruby>","telephone"
"<ruby>会話<rt>かいわ</rt></ruby>","conversation"
"<ruby>少し<rt>すこし</rt></ruby>","little"
"<ruby>少ない<rt>すくない</rt></ruby>","few"
"<ruby>少々<rt>しょうしょう</rt></ruby>","a little"
"<ruby>少女<rt>しょうじょ</rt></ruby>","girl"
"<ruby>少年<rt>しょうねん</rt></ruby>","boy"
"<ruby>赤いかばん<rt>あかいかばん</rt></ruby>","red bag"
"<ruby>赤がいちばん好きです。<rt>あかがいちばん好きです。</rt></ruby>","I like red the best."
"<ruby>緑／グリーンのセーター<rt>みどり／グリーンのセーター</rt></ruby>","green sweater"
"<ruby>顔が青いですね。<rt>かおがあおいですね。</rt></ruby>","You look pale."
"<ruby>白黒の写真<rt>しろくろのしゃしん</rt></ruby>","black and white picture"
"<ruby>青信号<rt>あおしんごう</rt></ruby>","green light"
"<ruby>古い<rt>ふるい</rt></ruby>","old (for things)"
"<ruby>中古<rt>ちゅうこ</rt></ruby>","secondhand"
"<ruby>古代<rt>こだい</rt></ruby>","ancient times"
"<ruby>知る<rt>しる</rt></ruby>","to know"
"<ruby>知人<rt>ちじん</rt></ruby>","acquaintance (formal)"
"<ruby>知り合い<rt>しりあい</rt></ruby>","acquaintance"
"<ruby>来る<rt>くる</rt></ruby>","to come"
"<ruby>来ます<rt>きます</rt></ruby>","to come (long-form)"
"<ruby>来ない<rt>こない</rt></ruby>","not to come"
"<ruby>来週<rt>らいしゅう</rt></ruby>","next week"
"<ruby>来日<rt>らいにち</rt></ruby>","visit to Japan"
"いろいろおせわになりました。","Thank you for everything."
"<ruby>体に気をつけてください。<rt>からだにきをつけてください。</rt></ruby>","Please take care of yourself."
"<ruby>お会いできるのを楽しみにしています。<rt>おあいできるをたのしみにしています。</rt></ruby>","I am looking forward to seeing you."
"～おめでとう（ございます）。","Congratulations on..."
"（お）たんじょうびおめでとう。","Happy Birthday."
"<ruby>季節<rt>きせつ</rt></ruby>","season"
"<ruby>春<rt>はる</rt></ruby>","spring"
"<ruby>秋<rt>あき</rt></ruby>","fall"
"<ruby>牛乳<rt>ぎゅうにゅう</rt></ruby>","milk"
"ケーキ","cake"
"すし","sushi"
"<ruby>天ぷら<rt>てんぷら</rt></ruby>","tempura"
"りんご","apple"
"<ruby>料理<rt>りょうり</rt></ruby>","cuisine"
"サッカー","soccer"
"<ruby>野球<rt>やきゅう</rt></ruby>","baseball"
"<ruby>医者<rt>いしゃ</rt></ruby>","doctor"
"<ruby>お金持ち<rt>おかねもち</rt></ruby>","rich person"
"<ruby>有名人<rt>ゆうめいじん</rt></ruby>","celebrity"
"<ruby>顔<rt>かお</rt></ruby>","face"
"<ruby>年上<rt>としうえ</rt></ruby>","someone older"
"<ruby>駅<rt>えき</rt></ruby>","station"
"<ruby>新幹線<rt>しんかんせん</rt></ruby>","Shinkansen; Bullet Train"
"<ruby>地下鉄<rt>ちかてつ</rt></ruby>","subway"
"<ruby>船<rt>ふね</rt></ruby>","ship; boat"
"<ruby>飛行機<rt>ひこうき</rt></ruby>","airplane"
"<ruby>予約<rt>よやく</rt></ruby>","reservation"
"ツアー","tour"
"<ruby>動物園<rt>どうぶつえん</rt></ruby>","zoo"
"<ruby>時間<rt>じかん</rt></ruby>","time"
"<ruby>世界<rt>せかい</rt></ruby>","world"
"<ruby>美容院<rt>びよういん</rt></ruby>","beauty parlor"
"<ruby>手袋<rt>てぶくろ</rt></ruby>","gloves"
"<ruby>生活<rt>せいかつ</rt></ruby>","life; living"
"<ruby>今年<rt>ことし</rt></ruby>","this year"
"<ruby>暖かい<rt>あたたかい</rt></ruby>","warm"
"<ruby>涼しい<rt>すずしい</rt></ruby>","cool (weather)"
"<ruby>冷たい<rt>つめたい</rt></ruby>","cold (things/people)"
"<ruby>遅い<rt>おそい</rt></ruby>","slow; late"
"<ruby>眠い<rt>ねむい</rt></ruby>","sleepy"
"<ruby>簡単<rt>かんたん（な）</rt></ruby>","easy; simple"
"かかる","to take (amount of time/money)"
"<ruby>泊まる<rt>とまる</rt></ruby>","to stay (at a hotel, etc) <small>(～に)</small>"
"なる","to become"
"<ruby>決める<rt>きめる</rt></ruby>","to decide <small>(<em>～を</em>)</small>"
"ごろごろする","to chill out at home; to stay home and do nothing"
"<ruby>旅行する<rt>りょこうする</rt></ruby>","to travel"
"<ruby>練習する<rt>れんしゅうする</rt></ruby>","to practice <small>(<em>～を</em>)</small>"
"<ruby>住む<rt>すむ</rt></ruby>","to live"
"<ruby>住所<rt>じゅうしょ</rt></ruby>","address"
"<ruby>移住する<rt>いじゅうする</rt></ruby>","to immigrate"
"<ruby>お正月<rt>おしょうがつ</rt></ruby>","New Year"
"<ruby>正しい<rt>ただしい</rt></ruby>","right"
"<ruby>正午<rt>しょうご</rt></ruby>","noon"
"<ruby>正解<rt>せいかい</rt></ruby>","correct answer"
"<ruby>三年生<rt>さんねんせい</rt></ruby>","third-year student"
"<ruby>来年<rt>らいねん</rt></ruby>","next year"
"<ruby>今年<rt>ことし</rt></ruby>","this year"
"<ruby>年<rt>とし</rt></ruby>","year"
"<ruby>一番<rt>いちばん</rt></ruby>","best"
"どっち／どちら","which"
"<ruby>早く／速く<rt>はやく</rt></ruby>","(do something) early; fast"
"<ruby>歩いて<rt>あるいて</rt></ruby>","on foot"
"～で","by (means of transportation); with (a tool)"
"どうやって","how; by what means"
"どのぐらい","how much; how long"
"<ruby>～週間<rt>～しゅうかん</rt></ruby>","for...weeks"
"<ruby>～か月<rt>～かげつ</rt></ruby>","for...months"
"<ruby>～年<rt>～ねん</rt></ruby>","...years"
"このごろ","these days"
"<ruby>～後<rt>～ご</rt></ruby>","in...time; after..."
"～か～","or"
"<ruby>売る<rt>うる</rt></ruby>","to sell"
"<ruby>売店<rt>ばいてん</rt></ruby>","stand; stall"
"<ruby>自動販売機<rt>じどうはんばいき</rt></ruby>","vending machine"
"<ruby>買う<rt>かう</rt></ruby>","to buy"
"<ruby>買い物<rt>かいもの</rt></ruby>","shopping"
"<ruby>売買<rt>ばいばい</rt></ruby>","selling and buying"
"<ruby>町<rt>まち</rt></ruby>","town"
"<ruby>北山町<rt>きたやまちょう</rt></ruby>","Kitayama town"
"<ruby>町長<rt>ちょうちょう</rt></ruby>","mayor of a town"
"<ruby>普通<rt>ふつう</rt></ruby>","local train"
"<ruby>急行<rt>きゅうこう</rt></ruby>","express train"
"<ruby>特急<rt>とっきゅう</rt></ruby>","super express train"
"<ruby>～行き<rt>～いき</rt></ruby>","bound for..."
"<ruby>～方面<rt>～ほうめん</rt></ruby>","serving...areas"
"<ruby>乗車券<rt>じょうしゃけん</rt></ruby>","(boarding) ticket"
"<ruby>定期券<rt>ていきけん</rt></ruby>","commuter's pass"
"<ruby>学割<rt>がくわり</rt></ruby>","student discount"
"<ruby>指定席<rt>していせき</rt></ruby>","reserved seat"
"<ruby>自由席<rt>じゆうせき</rt></ruby>","general admission seat"
"<ruby>一号車<rt>いちごうしゃ</rt></ruby>","Car No.1"
"<ruby>往復<rt>おうふく</rt></ruby>","round trip"
"<ruby>片道<rt>かたみち</rt></ruby>","one way"
"<ruby>交通系ICカード<rt>こうつうけいICかーど</rt></ruby>","rechargeable card such as Suica, Icoca, Pasmo, etc."
"<ruby>長い<rt>ながい</rt></ruby>","long"
"<ruby>長男<rt>ちょうなん</rt></ruby>","the eldest son"
"<ruby>社長<rt>しゃちょう</rt></ruby>","company president"
"<ruby>道<rt>みち</rt></ruby>","way; road"
"<ruby>書道<rt>しょどう</rt></ruby>","calligraphy"
"<ruby>柔道<rt>じゅうどう</rt></ruby>","judo"
"<ruby>北海道<rt>ほっかいどう</rt></ruby>","Hokkaido"
"<ruby>雪<rt>ゆき</rt></ruby>","snow"
"<ruby>新雪<rt>しんせつ</rt></ruby>","new snow"
"<ruby>雪だるま<rt>ゆきだるま</rt></ruby>","snowman"
"<ruby>～番線<rt>～ばんせん</rt></ruby>","track number..."
"<ruby>切符売り場<rt>きっぷうりば</rt></ruby>","ticket vending area"
"<ruby>改札<rt>かいさつ</rt></ruby>","gate"
"ホーム","platform"
"<ruby>売店<rt>ばいてん</rt></ruby>","shop; stand"
"<ruby>出口<rt>でぐち</rt></ruby>","exit"
"<ruby>入口<rt>いりぐち</rt></ruby>","entrance"
"<ruby>階段<rt>かいだん</rt></ruby>","stairs"
"<ruby>乗り換え<rt>のりかえ</rt></ruby>","transfer"
"<ruby>次は～<rt>つぎは～</rt></ruby>","next (stop),..."
"<ruby>先発<rt>せんぱつ</rt></ruby>","departing first"
"<ruby>次発<rt>じはつ</rt></ruby>","departing second"
"<ruby>終電<rt>しゅうでん</rt></ruby>","last train"
"<ruby>立つ<rt>たつ</rt></ruby>","to stand"
"<ruby>国立大学<rt>こくりつだいがく</rt></ruby>","national university"
"<ruby>私立高校<rt>しりつこうこう</rt></ruby>","private high school"
"<ruby>自分<rt>じぶん</rt></ruby>","oneself"
"<ruby>自動車<rt>じどうしゃ</rt></ruby>","automobile"
"<ruby>自転車<rt>じてんしゃ</rt></ruby>","bicycle"
"<ruby>自由<rt>じゆう</rt></ruby>","freedom"
"<ruby>夜<rt>よる</rt></ruby>","night"
"<ruby>夜中<rt>よなか</rt></ruby>","middle of night; midnight"
"<ruby>今夜<rt>こんや</rt></ruby>","tonight"
"<ruby>夜明け<rt>よあけ</rt></ruby>","dawn"
"<ruby>まもなく発車します。<rt>まもなくはっしゃします。</rt></ruby>","We will be leaving soon."
"<ruby>電車が参ります。<rt>でんしゃがまいります。</rt></ruby>","A train is arriving."
"<ruby>次は～に止まります。<rt>つぎは～にとまります。</rt></ruby>","Next (we'll stop at)..."
"<ruby>ドアが閉まります。ご注意ください。<rt>ドアがしまります。ごちゅういください。</rt></ruby>","The doors are closing. Please be careful."
"<ruby>この電車は秋葉原に止まりますか。<rt>このでんしゃはあきはばらにとまりますか。</rt></ruby>","Does this train stop at Akihabara?"
"<ruby>終電は何時ですか。<rt>しゅうでんはなんじですか。</rt></ruby>","What time is the last train."
"<ruby>東京までの指定席を一枚お願いします。<rt>とうきょうまでのしていせきをいちまいおねがいします。</rt></ruby>","One reserved ticket to Tokyo, please."
"<ruby>学割が使えますか。<rt>がくわりがつかえますか。</rt></ruby>","Can I get a student discount?"
"<ruby>朝<rt>あさ</rt></ruby>","morning"
"<ruby>今朝<rt>けさ</rt></ruby>","this morning"
"<ruby>朝食<rt>ちょうしょく</rt></ruby>","breakfast"
"<ruby>毎朝<rt>まいあさ</rt></ruby>","every morning"
"<ruby>持つ<rt>もつ</rt></ruby>","to carry; to hold"
"<ruby>持ってくる<rt>もってくる</rt></ruby>","to bring"
"<ruby>所持品<rt>しょじひん</rt></ruby>","belongings"
"<ruby>気持ち<rt>きもち</rt></ruby>","feeling"
"<ruby>外国<rt>がいこく</rt></ruby>","foreign country"
"オーストラリア","Australia"
"<ruby>川<rt>かわ</rt></ruby>","river"
"<ruby>温泉<rt>おんせん</rt></ruby>","spa; hot spring"
"つり","fishing"
"<ruby>湖<rt>みずうみ</rt></ruby>","lake"
"<ruby>山<rt>やま</rt></ruby>","mountain"
"キャンプ","camp"
"ドライブ","drive"
"<ruby>神社<rt>じんじゃ</rt></ruby>","shrine"
"<ruby>美術館<rt>びじゅつかん</rt></ruby>","art museum"
"<ruby>社長<rt>しゃちょう</rt></ruby>","president of a company"
"<ruby>歌手<rt>かしゅ</rt></ruby>","singer"
"ルームメート","roommate"
"ホストファミリー","host family"
"<ruby>将来<rt>しょうらい</rt></ruby>","future"
"<ruby>夢<rt>ゆめ</rt></ruby>","dream"
"<ruby>お祭り<rt>おまつり</rt></ruby>","festival"
"<ruby>お正月<rt>おしょうがつ</rt></ruby>","New Year's"
"<ruby>お菓子<rt>おかし</rt></ruby>","snack; sweets"
"ビール","beer"
"おもちゃ","toy"
"<ruby>今学期<rt>こんがっき</rt></ruby>","this semester"
"<ruby>来学期<rt>らいがっき</rt></ruby>","next semester"
"<ruby>授業<rt>じゅぎょう</rt></ruby>","class"
"こちら","this person (polite)"
"うそをつく","to tell a lie"
"おなかがすく","to become hungry"
"<ruby>飼う<rt>かう</rt></ruby>","to own (a pet) <small>(～を)</small>"
"サボる","to cut (classes) <small>(～を)</small>"
"<ruby>取る<rt>とる</rt></ruby>","to take (a class); to get (a grade) <small>(～を)</small>"
"<ruby>習う<rt>ならう</rt></ruby>","to learn <small>(～を)</small>"
"<ruby>登る<rt>のぼる</rt></ruby>","to climb <small>(<em>place</em> に)</small>"
"<ruby>走る<rt>はしる</rt></ruby>","to run"
"<ruby>疲れる<rt>つかれる</rt></ruby>","to get tired"
"やめる","to quit"
"けんかする","to have a fight; to quarrel"
"<ruby>紹介する<rt>しょうかいする</rt></ruby>","to introduce <small>(<em>person</em> に <em>person</em> を)</small>"
"ダイエットする","to go on a diet"
"<ruby>遅刻する<rt>ちこくする</rt></ruby>","to be late (for an appointment) <small>(～に)</small>"
"<ruby>留学する<rt>りゅうがくする</rt></ruby>","to study abroad <small>(<em>place</em> に)</small>"
"<ruby>出身<rt>しゅっしん</rt></ruby>","coming from <small>(<em>place</em> の)</small>"
"<ruby>久しぶり<rt>ひさしぶり</rt></ruby>","it has been a long time"
"まあまあ","okay; so-so"
"もっと","more"
"<ruby>後<rt>あと</rt></ruby>","after (an event) <small>(<em>event</em> の)</small>"
"そして","and then"
"～だけ","just...; only..."
"<ruby>～点<rt>～てん</rt></ruby>","...points"
"<ruby>手紙<rt>てがみ</rt></ruby>","letter"
"<ruby>歌手<rt>かしゅ</rt></ruby>","singer"
"<ruby>手<rt>て</rt></ruby>","hand"
"<ruby>手話<rt>しゅわ</rt></ruby>","sign language"
"<ruby>上手な<rt>じょうずな</rt></ruby>","good at"
"<ruby>紙<rt>かみ</rt></ruby>","paper"
"<ruby>和紙<rt>わし</rt></ruby>","Japanese paper"
"<ruby>表紙<rt>ひょうし</rt></ruby>","cover page"
"<ruby>折り紙<rt>おりがみ</rt></ruby>","origami"
"<ruby>好きな<rt>すきな</rt></ruby>","to like"
"<ruby>大好きな<rt>だいすきな</rt></ruby>","to love"
"<ruby>好意<rt>こうい</rt></ruby>","goodwill"
"<ruby>好み<rt>このみ</rt></ruby>","liking; taste"
"<ruby>好物<rt>こうぶつ</rt></ruby>","favorite food"
"<ruby>職業<rt>しょくぎょう</rt></ruby>","occupation; business"
"<ruby>作家<rt>さっか</rt></ruby>","writer"
"ジャーナリスト","journalist"
"<ruby>警察官<rt>けいさつかん</rt></ruby>","police officer"
"<ruby>消防士<rt>しょうぼうし</rt></ruby>","firefighter"
"<ruby>教師<rt>きょうし</rt></ruby>","school teacher"
"<ruby>研究者<rt>けんきゅうしゃ</rt></ruby>","researcher"
"<ruby>宇宙飛行士<rt>うちゅうひこうし</rt></ruby>","astronaut"
"<ruby>スポーツ選手<rt>スポーツせんしゅ</rt></ruby>","athlete"
"<ruby>大統領<rt>だいとうりょう</rt></ruby>","president of a country"
"<ruby>俳優<rt>はいゆう</rt></ruby>","actor; actress"
"<ruby>看護師<rt>かんごし</rt></ruby>","nurse"
"シェフ","chef"
"<ruby>漫画家<rt>まんがか</rt></ruby>","cartoonist"
"<ruby>近く<rt>ちかく</rt></ruby>","near; nearby"
"<ruby>近所<rt>きんじょ</rt></ruby>","neighborhood"
"<ruby>最近<rt>さいきん</rt></ruby>","recently"
"<ruby>中近東<rt>ちゅうきんとう</rt></ruby>","the Middle and Near East"
"<ruby>明るい<rt>あかるい</rt></ruby>","cheerful; bright"
"<ruby>明日<rt>あした</rt></ruby>","tomorrow"
"<ruby>説明<rt>せつめい</rt></ruby>","explanation"
"<ruby>発明<rt>はつめい</rt></ruby>","invention"
"<ruby>文明<rt>ぶんめい</rt></ruby>","civilization"
"<ruby>病院<rt>びょういん</rt></ruby>","hospital"
"<ruby>病気<rt>びょうき</rt></ruby>","illness"
"<ruby>重病<rt>じゅうびょう</rt></ruby>","serious illness"
"<ruby>急病<rt>きゅうびょう</rt></ruby>","sudden illness"
"<ruby>大学院<rt>だいがくいん</rt></ruby>","graduate school"
"<ruby>美容院<rt>びよういん</rt></ruby>","beauty parlor"
"どちらでもいいです。","Both are fine."
"<ruby>同じです。<rt>おなじです。</rt></ruby>","Same thing."
"<ruby>だいたい同じです。<rt>だいたいおなじです。</rt></ruby>","More or less the same."
"<ruby>ちょっと違います。<rt>ちょっとちがいます。</rt></ruby>","A little different."
"<ruby>使えません。<rt>つかえません。</rt></ruby>","Can't use it."
"だめです。","No good."
"<ruby>手をあげてください。<rt>てをあげてください。</rt></ruby>","Raise your hand."
"<ruby>読んできてください。<rt>よんできてください。</rt></ruby>","Read it before coming to class."
"<ruby>宿題を出してください。<rt>しゅくだいをだしてください。</rt></ruby>","Hand in the homework."
"<ruby>10ページを開いてください。<rt>10ページをひらいてください。</rt></ruby>","Open the book to page 10."
"<ruby>教科書を閉じてください。<rt>きょうかしょをとじてください。</rt></ruby>","Close the textbook."
"<ruby>となりの人に聞いてください。<rt>となりのひとにきいてください。</rt></ruby>","Ask the person sitting next to you."
"やめてください。","Please stop."
"<ruby>今日はこれで終わります。<rt>きょうはこれでおわります。</rt></ruby>","That's it for today."
"<ruby>映画<rt>えいが</rt></ruby>","movie"
"<ruby>映画館<rt>えいがかん</rt></ruby>","movie theater"
"<ruby>映る<rt>うつる</rt></ruby>","to be reflected"
"<ruby>画家<rt>がか</rt></ruby>","painter"
"<ruby>計画<rt>けいかく</rt></ruby>","plan"
"<ruby>漫画<rt>まんが</rt></ruby>","comic"
"<ruby>歌う<rt>うたう</rt></ruby>","to sing"
"<ruby>歌<rt>うた</rt></ruby>","song"
"<ruby>歌手<rt>かしゅ</rt></ruby>","singer"
"<ruby>国歌<rt>こっか</rt></ruby>","national anthem"
"<ruby>歌舞伎<rt>かぶき</rt></ruby>","Kabuki"
"<ruby>歌詞<rt>かし</rt></ruby>","lyrics"
"しめきり","deadline"
"<ruby>練習<rt>れんしゅう</rt></ruby>","practice; (an) exercise"
"<ruby>意味<rt>いみ</rt></ruby>","meaning"
"<ruby>発音<rt>はつおん</rt></ruby>","pronunciation"
"<ruby>文法<rt>ぶんぽう</rt></ruby>","grammar"
"<ruby>質問<rt>しつもん</rt></ruby>","question"
"<ruby>答<rt>こたえ</rt></ruby>","answer"
"<ruby>例<rt>れい</rt></ruby>","example"
"かっこ","( ) (parenthesis)"
"まる","〇 (correct)"
"ばつ","✕ (wrong)"
"<ruby>川口市<rt>かわぐちし</rt></ruby>","Kawaguchi City"
"<ruby>市役所<rt>しやくしょ</rt></ruby>","city hall"
"<ruby>市長<rt>しちょう</rt></ruby>","mayor"
"<ruby>市場<rt>いちば</rt></ruby>","market"
"<ruby>いろいろな所<rt>いろいろなところ</rt></ruby>","various places"
"<ruby>近所<rt>きんじょ</rt></ruby>","neighborhood"
"<ruby>台所<rt>だいどころ</rt></ruby>","kitchen"
"<ruby>住所<rt>じゅうしょ</rt></ruby>","address"
"<ruby>勉強する<rt>べんきょうする</rt></ruby>","to study"
"<ruby>勉める<rt>つとめる</rt></ruby>","to try hard"
"<ruby>勤勉な<rt>きんべんな</rt></ruby>","diligent"
"<ruby>くだけた言い方<rt>くだけたいいかた</rt></ruby>","colloquial expression"
"<ruby>かたい言い方<rt>かたいいいかた</rt></ruby>","bookish expression"
"<ruby>ていねいな言い方<rt>ていねいないいかた</rt></ruby>","polite expression"
"<ruby>方言<rt>ほうげん</rt></ruby>","dialect"
"<ruby>共通語<rt>きょうつうご</rt></ruby>","common language"
"たとえば","for example"
"ほかに","anything else"
"<ruby>～番<rt>～ばん</rt></ruby>","number"
"<ruby>～行目<rt>～ぎょうめ</rt></ruby>","line number"
"<ruby>二人ずつ<rt>ふたりずつ</rt></ruby>","two people each"
"<ruby>勉強する<rt>べんきょうする</rt></ruby>","to study"
"<ruby>強い<rt>つよい</rt></ruby>","strong"
"<ruby>強情な<rt>ごうじょうな</rt></ruby>","obstinate"
"<ruby>強盗<rt>ごうとう</rt></ruby>","robbery"
"<ruby>強力な<rt>きょうりょくな</rt></ruby>","powerful"
"<ruby>有名な<rt>ゆうめいな</rt></ruby>","famous"
"<ruby>有料<rt>ゆうりょう</rt></ruby>","toll; fee"
"<ruby>有る<rt>ある</rt></ruby>","to exist"
"<ruby>有能な<rt>ゆうのうな</rt></ruby>","talented"
"<ruby>旅行<rt>りょこう</rt></ruby>","travel"
"<ruby>旅館<rt>りょかん</rt></ruby>","Japanese inn"
"<ruby>一人旅<rt>ひとりたび</rt></ruby>","traveling alone"
"<ruby>旅券<rt>りょけん</rt></ruby>","passport"
"おなか","stomach"
"<ruby>足<rt>あし</rt></ruby>","leg; foot"
"のど","throat"
"<ruby>歯<rt>は</rt></ruby>","tooth"
"インフルエンザ","influenza; flu"
"<ruby>風邪<rt>かぜ</rt></ruby>","cold"
"せき","cough"
"<ruby>二日酔い<rt>ふつかよい</rt></ruby>","hangover"
"ホームシック","homesickness"
"アレルギー","allergy"
"ジュース","juice"
"<ruby>卵<rt>たまご</rt></ruby>","egg"
"<ruby>服<rt>ふく</rt></ruby>","clothes"
"<ruby>物<rt>もの</rt></ruby>","thing (concrete object)"
"プレゼント","present"
"<ruby>切符<rt>きっぷ</rt></ruby>","train ticket; ticket"
"<ruby>～代<rt>～だい</rt></ruby>","charge; fee"
"<ruby>用事<rt>ようじ</rt></ruby>","business to take care of"
"<ruby>お手洗い<rt>おてあらい</rt></ruby>","restroom"
"<ruby>試合<rt>しあい</rt></ruby>","match; game"
"<ruby>政治<rt>せいじ</rt></ruby>","politics"
"<ruby>成績<rt>せいせき</rt></ruby>","grade (on a test, etc.)"
"<ruby>彼女<rt>かのじょ</rt></ruby>","she; girlfriend"
"<ruby>彼<rt>かれ</rt></ruby>","he; boyfriend"
"<ruby>彼氏<rt>かれし</rt></ruby>","boyfriend"
"<ruby>意味<rt>いみ</rt></ruby>","meaning"
"<ruby>狭い<rt>せまい</rt></ruby>","narrow; not spacious"
"<ruby>広い<rt>ひろい</rt></ruby>","wide; spacious"
"<ruby>悪い<rt>わるい</rt></ruby>","bad"
"<ruby>痛い<rt>いたい</rt></ruby>","hurt; painful"
"<ruby>甘い<rt>あまい</rt></ruby>","sweet"
"<ruby>多い<rt>おおい</rt></ruby>","there are many"
"<ruby>素敵<rt>すてき（な）</rt></ruby>","nice"
"<ruby>歩く<rt>あるく</rt></ruby>","to walk"
"<ruby>風邪をひく<rt>かぜをひく</rt></ruby>","to catch a cold"
